city,rooms_semi_integer,rooms,extra_space,floor,surface_m2,NIS,property_type,price_surface
Tel Aviv,3,3,0,19,75,8990,apartment,119.87
Tel Aviv,4,4,0,5,110,14500,apartment,131.82
Tel Aviv,2,2,0,4,50,4650,apartment,93
Tel Aviv,3,3,0,24,104,13000,apartment,125
Tel Aviv,3,3,0,4,85,6700,apartment,78.82
Tel Aviv,5,5,0,7,132,11900,apartment,90.15
Tel Aviv,3,3,0,1,85,10900,garden apartment,128.24
Tel Aviv,2,2,0,0,40,5800,apartment,145
Tel Aviv,3,3,0,4,60,5000,apartment,83.33
Tel Aviv,1,1,0,5,86,10900,apartment,126.74
Tel Aviv,1,1,0,2,25,3300,apartment,132
Tel Aviv,3,3,0,3,78,7000,apartment,89.74
Tel Aviv,3.5,3,1,3,75,10000,apartment,133.33
Tel Aviv,3,3,0,3,85,8900,apartment,104.71
Tel Aviv,3,3,0,3,70,7350,apartment,105
Tel Aviv,2,2,0,1,65,7200,apartment,110.77
Tel Aviv,4,4,0,5,111,8750,apartment,78.83
Tel Aviv,2,2,0,2,52,5300,apartment,101.92
Tel Aviv,4,4,0,0,90,9900,apartment,110
Tel Aviv,2,2,0,0,70,4300,other,61.43
Tel Aviv,4,4,0,4,104,9000,apartment,86.54
Tel Aviv,4,4,0,3,100,13000,apartment,130
Tel Aviv,5,5,0,15,125,11500,apartment,92
Tel Aviv,4,4,0,6,150,13000,apartment,86.67
Tel Aviv,3,3,0,1,60,8750,apartment,145.83
Tel Aviv,4,4,0,1,112,11000,apartment,98.21
Tel Aviv,4,4,0,1,125,12500,apartment,100
Tel Aviv,3,3,0,27,67,11000,apartment,164.18
Tel Aviv,2,2,0,4,60,8500,apartment,141.67
Tel Aviv,2,2,0,1,60,6500,apartment,108.33
Tel Aviv,2,2,0,1,50,10000,apartment,200
Tel Aviv,2,2,0,5,54,5400,apartment,100
Tel Aviv,3,3,0,0,135,9000,garden apartment,66.67
Tel Aviv,4,4,0,3,350,25000,penthouse,71.43
Tel Aviv,5,5,0,6,210,27500,penthouse,130.95
Tel Aviv,3.5,3,1,3,85,9200,apartment,108.24
Tel Aviv,2,2,0,0,55,6700,apartment,121.82
Tel Aviv,3,3,0,1,75,9200,apartment,122.67
Tel Aviv,4,4,0,1,85,6900,apartment,81.18
Tel Aviv,2,2,0,5,82,11500,duplex,140.24
Tel Aviv,7,7,0,12,400,35000,duplex,87.5
Tel Aviv,4,4,0,3,110,11500,apartment,104.55
Tel Aviv,5,5,0,0,230,15500,house,67.39
Tel Aviv,3,3,0,3,65,7500,apartment,115.38
Tel Aviv,3,3,0,1,89,9000,apartment,101.12
Tel Aviv,4,4,0,2,92,8600,apartment,93.48
Tel Aviv,3,3,0,3,68,5500,apartment,80.88
Tel Aviv,2.5,2,1,2,48,6500,apartment,135.42
Tel Aviv,4,4,0,1,80,10200,apartment,127.5
Tel Aviv,2.5,2,1,0,60,6100,apartment,101.67
Tel Aviv,3,3,0,4,60,4600,apartment,76.67
Tel Aviv,3.5,3,1,2,110,9900,apartment,90
Tel Aviv,3.5,3,1,2,110,8800,apartment,80
Tel Aviv,4.5,4,1,10,160,13000,apartment,81.25
Tel Aviv,1.5,1,1,1,41,5500,apartment,134.15
Tel Aviv,4,4,0,10,90,10500,apartment,116.67
Tel Aviv,4,4,0,4,90,12500,apartment,138.89
Tel Aviv,3.5,3,1,2,72,10200,apartment,141.67
Tel Aviv,3,3,0,2,84,8400,apartment,100
Tel Aviv,4,4,0,1,85,6900,apartment,81.18
Tel Aviv,4,4,0,1,120,13400,apartment,111.67
Tel Aviv,3,3,0,4,75,12000,apartment,160
Tel Aviv,4,4,0,30,200,18900,penthouse,94.5
Tel Aviv,2,2,0,3,38,5500,apartment,144.74
Tel Aviv,4,4,0,0,260,11800,other,45.38
Tel Aviv,2,2,0,0,50,6950,apartment,139
Tel Aviv,3,3,0,12,100,15500,apartment,155
Tel Aviv,2,2,0,1,50,6300,apartment,126
Tel Aviv,5,5,0,5,128,10500,apartment,82.03
Tel Aviv,5,5,0,5,120,11200,apartment,93.33
Tel Aviv,4,4,0,5,150,16900,penthouse,112.67
Tel Aviv,3.5,3,1,2,115,11000,apartment,95.65
Tel Aviv,4,4,0,2,105,9500,apartment,90.48
Tel Aviv,4,4,0,26,119,19500,apartment,163.87
Tel Aviv,3,3,0,1,80,7500,apartment,93.75
Tel Aviv,5,5,0,0,130,14000,garden apartment,107.69
Tel Aviv,1,1,0,0,25,4200,apartment,168
Tel Aviv,5,5,0,6,210,27500,penthouse,130.95
Tel Aviv,3,3,0,14,77,9000,apartment,116.88
Tel Aviv,4,4,0,26,80,11000,apartment,137.5
Tel Aviv,3,3,0,1,70,7200,apartment,102.86
Tel Aviv,2,2,0,0,50,3550,house,71
Tel Aviv,4,4,0,8,88,7000,apartment,79.55
Tel Aviv,4,4,0,46,245,29900,penthouse,122.04
Tel Aviv,4,4,0,35,110,10700,apartment,97.27
Tel Aviv,3,3,0,5,65,7500,apartment,115.38
Tel Aviv,5,5,0,2,115,11500,apartment,100
Tel Aviv,3,3,0,3,85,13500,apartment,158.82
Tel Aviv,2.5,2,1,1,70,6800,apartment,97.14
Tel Aviv,3,3,0,1,70,5300,apartment,75.71
Tel Aviv,3,3,0,0,89,5500,basement,61.8
Tel Aviv,3,3,0,2,60,7500,apartment,125
Tel Aviv,3,3,0,2,70,7500,apartment,107.14
Tel Aviv,7,7,0,24,332,40000,apartment,120.48
Tel Aviv,2,2,0,1,61,6280,apartment,102.95
Tel Aviv,1,1,0,2,30,5200,apartment,173.33
Tel Aviv,1,1,0,11,125,15000,apartment,120
Tel Aviv,2,2,0,1,60,8200,apartment,136.67
Tel Aviv,3,3,0,0,95,8900,house,93.68
Tel Aviv,4,4,0,21,143,18000,apartment,125.87
Tel Aviv,2,2,0,21,55,9200,apartment,167.27
Tel Aviv,3,3,0,3,100,12000,apartment,120
Tel Aviv,3,3,0,2,70,7250,apartment,103.57
Tel Aviv,3,3,0,4,115,16500,apartment,143.48
Tel Aviv,3,3,0,25,78,8500,apartment,108.97
Tel Aviv,3,3,0,18,75,10000,apartment,133.33
Tel Aviv,4,4,0,1,140,13000,apartment,92.86
Tel Aviv,4,4,0,3,95,12000,apartment,126.32
Tel Aviv,3,3,0,1,92,14400,apartment,156.52
Tel Aviv,3.5,3,1,3,86,12000,apartment,139.53
Tel Aviv,5,5,0,2,137,10000,apartment,72.99
Tel Aviv,4,4,0,2,100,15900,apartment,159
Tel Aviv,4,4,0,3,90,10000,apartment,111.11
Tel Aviv,4,4,0,4,280,23000,penthouse,82.14
Tel Aviv,3,3,0,3,100,9200,apartment,92
Tel Aviv,3,3,0,1,70,5000,apartment,71.43
Tel Aviv,4,4,0,2,110,14800,apartment,134.55
Tel Aviv,2,2,0,1,40,6000,apartment,150
Tel Aviv,2,2,0,13,50,10500,apartment,210
Tel Aviv,3,3,0,1,70,5300,apartment,75.71
Tel Aviv,3,3,0,2,60,7500,apartment,125
Tel Aviv,3,3,0,2,70,7500,apartment,107.14
Tel Aviv,2,2,0,1,61,6280,apartment,102.95
Tel Aviv,2,2,0,1,60,8200,apartment,136.67
Tel Aviv,3,3,0,10,72,10000,apartment,138.89
Tel Aviv,2.5,2,1,3,80,6000,apartment,75
Tel Aviv,2,2,0,2,70,7499,apartment,107.13
Tel Aviv,4,4,0,2,113,10500,apartment,92.92
Tel Aviv,3,3,0,2,65,6200,apartment,95.38
Tel Aviv,3,3,0,3,96,10900,apartment,113.54
Tel Aviv,3.5,3,1,3,82,10500,apartment,128.05
Tel Aviv,2,2,0,1,40,6000,apartment,150
Tel Aviv,5,5,0,9,155,24900,apartment,160.65
Tel Aviv,4,4,0,8,100,8500,apartment,85
Tel Aviv,4,4,0,2,92,7800,apartment,84.78
Tel Aviv,4,4,0,4,100,13000,apartment,130
Tel Aviv,3,3,0,1,96,10000,other,104.17
Tel Aviv,3,3,0,24,82,13000,apartment,158.54
Tel Aviv,3,3,0,5,76,8500,apartment,111.84
Tel Aviv,3,3,0,14,75,9500,apartment,126.67
Tel Aviv,3.5,3,1,3,81,8500,apartment,104.94
Tel Aviv,2.5,2,1,0,175,13900,garden apartment,79.43
Tel Aviv,3,3,0,4,65,8200,apartment,126.15
Tel Aviv,3,3,0,2,90,7700,apartment,85.56
Tel Aviv,4,4,0,1,85,8000,apartment,94.12
Tel Aviv,3,3,0,1,75,8000,apartment,106.67
Tel Aviv,5,5,0,9,236,25000,penthouse,105.93
Tel Aviv,3,3,0,3,85,10500,apartment,123.53
Tel Aviv,1.5,1,1,3,40,5900,apartment,147.5
Tel Aviv,4,4,0,3,130,15000,apartment,115.38
Tel Aviv,4,4,0,4,110,11500,apartment,104.55
Tel Aviv,1,1,0,4,55,4000,other,72.73
Tel Aviv,3,3,0,2,80,9450,apartment,118.13
Tel Aviv,3,3,0,2,90,8200,apartment,91.11
Tel Aviv,2,2,0,4,60,7200,apartment,120
Tel Aviv,3,3,0,4,70,8500,apartment,121.43
Tel Aviv,3,3,0,13,76,9900,apartment,130.26
Tel Aviv,3,3,0,0,240,11500,house,47.92
Tel Aviv,3,3,0,2,80,8000,apartment,100
Tel Aviv,3,3,0,2,72,6950,apartment,96.53
Tel Aviv,4,4,0,2,90,7900,penthouse,87.78
Tel Aviv,3,3,0,2,80,8500,apartment,106.25
Tel Aviv,4,4,0,22,108,10200,duplex,94.44
Tel Aviv,3,3,0,28,148,23000,apartment,155.41
