actual,predicted,datetime,hour_of_year,hour_of_week
2.398333333333333,2.4602127,2017-01-01 00:00:00+00:00,24,144
2.283333333333333,2.3517773,2017-01-01 01:00:00+00:00,25,145
2.2266666666666666,2.2862666,2017-01-01 02:00:00+00:00,26,146
2.1866666666666665,2.2308688,2017-01-01 03:00:00+00:00,27,147
2.1466666666666665,2.2211573,2017-01-01 04:00:00+00:00,28,148
2.143333333333333,2.2224102,2017-01-01 05:00:00+00:00,29,149
2.1733333333333333,2.2388692,2017-01-01 06:00:00+00:00,30,150
2.2216666666666667,2.1739652,2017-01-01 07:00:00+00:00,31,151
2.2516666666666665,2.2115886,2017-01-01 08:00:00+00:00,32,152
2.2616666666666667,2.304031,2017-01-01 09:00:00+00:00,33,153
2.345,2.4394603,2017-01-01 10:00:00+00:00,34,154
2.355,2.4928508,2017-01-01 11:00:00+00:00,35,155
2.3716666666666666,2.4893017,2017-01-01 12:00:00+00:00,36,156
2.3966666666666665,2.52021,2017-01-01 13:00:00+00:00,37,157
2.39,2.494899,2017-01-01 14:00:00+00:00,38,158
2.3633333333333333,2.4780369,2017-01-01 15:00:00+00:00,39,159
2.341666666666667,2.488775,2017-01-01 16:00:00+00:00,40,160
2.41,2.577244,2017-01-01 17:00:00+00:00,41,161
2.595,2.6177804,2017-01-01 18:00:00+00:00,42,162
2.62,2.6610863,2017-01-01 19:00:00+00:00,43,163
2.6083333333333334,2.6247244,2017-01-01 20:00:00+00:00,44,164
2.585,2.6162639,2017-01-01 21:00:00+00:00,45,165
2.5,2.6111763,2017-01-01 22:00:00+00:00,46,166
2.4066666666666667,2.5384846,2017-01-01 23:00:00+00:00,47,167
2.296666666666667,2.49565,2017-01-02 00:00:00+00:00,48,0
2.1933333333333334,2.3966374,2017-01-02 01:00:00+00:00,49,1
2.1133333333333333,2.3572836,2017-01-02 02:00:00+00:00,50,2
2.078333333333333,2.335044,2017-01-02 03:00:00+00:00,51,3
2.066666666666667,2.3305733,2017-01-02 04:00:00+00:00,52,4
2.091666666666667,2.3470297,2017-01-02 05:00:00+00:00,53,5
2.145,2.352547,2017-01-02 06:00:00+00:00,54,6
2.21,2.4706752,2017-01-02 07:00:00+00:00,55,7
2.295,2.5173364,2017-01-02 08:00:00+00:00,56,8
2.3366666666666664,2.6118507,2017-01-02 09:00:00+00:00,57,9
2.4066666666666667,2.678382,2017-01-02 10:00:00+00:00,58,10
2.4616666666666664,2.7500575,2017-01-02 11:00:00+00:00,59,11
2.4966666666666666,2.765199,2017-01-02 12:00:00+00:00,60,12
2.5016666666666665,2.8230908,2017-01-02 13:00:00+00:00,61,13
2.498333333333333,2.8212512,2017-01-02 14:00:00+00:00,62,14
2.498333333333333,2.8129926,2017-01-02 15:00:00+00:00,63,15
2.5033333333333334,2.8108726,2017-01-02 16:00:00+00:00,64,16
2.575,2.8437505,2017-01-02 17:00:00+00:00,65,17
2.73,2.8701735,2017-01-02 18:00:00+00:00,66,18
2.7133333333333334,2.9395776,2017-01-02 19:00:00+00:00,67,19
2.695,2.9395776,2017-01-02 20:00:00+00:00,68,20
2.618333333333333,2.9203799,2017-01-02 21:00:00+00:00,69,21
2.53,2.8928072,2017-01-02 22:00:00+00:00,70,22
2.3916666666666666,2.6973212,2017-01-02 23:00:00+00:00,71,23
2.2333333333333334,2.6633687,2017-01-03 00:00:00+00:00,72,24
2.131666666666667,2.5461473,2017-01-03 01:00:00+00:00,73,25
2.0683333333333334,2.4558864,2017-01-03 02:00:00+00:00,74,26
2.045,2.4309754,2017-01-03 03:00:00+00:00,75,27
2.0416666666666665,2.4242516,2017-01-03 04:00:00+00:00,76,28
2.075,2.3466601,2017-01-03 05:00:00+00:00,77,29
2.21,2.4644663,2017-01-03 06:00:00+00:00,78,30
2.441666666666667,2.7293813,2017-01-03 07:00:00+00:00,79,31
2.598333333333333,2.8438675,2017-01-03 08:00:00+00:00,80,32
2.625,2.958175,2017-01-03 09:00:00+00:00,81,33
2.651666666666667,2.9421928,2017-01-03 10:00:00+00:00,82,34
2.73,2.9557204,2017-01-03 11:00:00+00:00,83,35
2.72,2.9557204,2017-01-03 12:00:00+00:00,84,36
2.728333333333333,3.0485225,2017-01-03 13:00:00+00:00,85,37
2.708333333333333,3.0378883,2017-01-03 14:00:00+00:00,86,38
2.703333333333333,3.0367122,2017-01-03 15:00:00+00:00,87,39
2.723333333333333,3.036253,2017-01-03 16:00:00+00:00,88,40
2.7666666666666666,3.0397923,2017-01-03 17:00:00+00:00,89,41
2.8233333333333333,3.0696642,2017-01-03 18:00:00+00:00,90,42
2.84,3.1024122,2017-01-03 19:00:00+00:00,91,43
2.776666666666667,3.1280282,2017-01-03 20:00:00+00:00,92,44
2.6983333333333333,3.1066184,2017-01-03 21:00:00+00:00,93,45
2.6083333333333334,3.0324187,2017-01-03 22:00:00+00:00,94,46
2.441666666666667,2.8108385,2017-01-03 23:00:00+00:00,95,47
2.315,2.6563244,2017-01-04 00:00:00+00:00,96,48
2.191666666666667,2.5306175,2017-01-04 01:00:00+00:00,97,49
2.138333333333333,2.4886029,2017-01-04 02:00:00+00:00,98,50
2.1216666666666666,2.4523888,2017-01-04 03:00:00+00:00,99,51
2.103333333333333,2.4483192,2017-01-04 04:00:00+00:00,100,52
2.148333333333333,2.4745638,2017-01-04 05:00:00+00:00,101,53
2.315,2.4891255,2017-01-04 06:00:00+00:00,102,54
2.523333333333333,2.7540405,2017-01-04 07:00:00+00:00,103,55
2.708333333333333,2.8602798,2017-01-04 08:00:00+00:00,104,56
2.7533333333333334,2.9745872,2017-01-04 09:00:00+00:00,105,57
2.795,2.959198,2017-01-04 10:00:00+00:00,106,58
2.816666666666667,2.9631515,2017-01-04 11:00:00+00:00,107,59
2.8216666666666668,2.9874332,2017-01-04 12:00:00+00:00,108,60
2.8,3.0072262,2017-01-04 13:00:00+00:00,109,61
2.8016666666666667,3.0053866,2017-01-04 14:00:00+00:00,110,62
2.81,3.0192146,2017-01-04 15:00:00+00:00,111,63
2.806666666666666,3.0187554,2017-01-04 16:00:00+00:00,112,64
2.881666666666667,3.0576918,2017-01-04 17:00:00+00:00,113,65
3.0883333333333334,3.185479,2017-01-04 18:00:00+00:00,114,66
3.1416666666666666,3.2101765,2017-01-04 19:00:00+00:00,115,67
3.1283333333333334,3.210403,2017-01-04 20:00:00+00:00,116,68
3.0683333333333334,3.2340875,2017-01-04 21:00:00+00:00,117,69
2.9566666666666666,3.1547613,2017-01-04 22:00:00+00:00,118,70
2.805,3.0017228,2017-01-04 23:00:00+00:00,119,71
2.683333333333333,2.8524477,2017-01-05 00:00:00+00:00,120,72
2.563333333333333,2.753993,2017-01-05 01:00:00+00:00,121,73
2.4916666666666667,2.661277,2017-01-05 02:00:00+00:00,122,74
2.4466666666666668,2.659702,2017-01-05 03:00:00+00:00,123,75
2.4566666666666666,2.6557336,2017-01-05 04:00:00+00:00,124,76
2.515,2.6682022,2017-01-05 05:00:00+00:00,125,77
2.6566666666666667,2.7589383,2017-01-05 06:00:00+00:00,126,78
2.8783333333333334,2.9817178,2017-01-05 07:00:00+00:00,127,79
3.0283333333333333,3.0785143,2017-01-05 08:00:00+00:00,128,80
3.055,3.1936364,2017-01-05 09:00:00+00:00,129,81
3.0683333333333334,3.2071056,2017-01-05 10:00:00+00:00,130,82
3.075,3.2334938,2017-01-05 11:00:00+00:00,131,83
3.0883333333333334,3.2334938,2017-01-05 12:00:00+00:00,132,84
3.083333333333333,3.2334938,2017-01-05 13:00:00+00:00,133,85
3.08,3.2316542,2017-01-05 14:00:00+00:00,134,86
3.0883333333333334,3.2278755,2017-01-05 15:00:00+00:00,135,87
3.0933333333333333,3.2005703,2017-01-05 16:00:00+00:00,136,88
3.123333333333333,3.2352815,2017-01-05 17:00:00+00:00,137,89
3.243333333333333,3.3971782,2017-01-05 18:00:00+00:00,138,90
3.275,3.4218757,2017-01-05 19:00:00+00:00,139,91
3.223333333333333,3.3793867,2017-01-05 20:00:00+00:00,140,92
3.17,3.3949966,2017-01-05 21:00:00+00:00,141,93
3.035,3.281496,2017-01-05 22:00:00+00:00,142,94
2.8783333333333334,3.097163,2017-01-05 23:00:00+00:00,143,95
2.72,2.8824797,2017-01-06 00:00:00+00:00,144,96
2.6016666666666666,2.7538357,2017-01-06 01:00:00+00:00,145,97
2.536666666666666,2.683227,2017-01-06 02:00:00+00:00,146,98
